EnglishDate,NepaliDate,Max,Min,Wind,Rain,Humidity,Cloud,Pressure
7/1/2018,23/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
7/1/2019,23/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
7/1/2020,22/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
7/1/2021,23/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
7/1/2022,23/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
7/1/2023,23/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
8/1/2009,24/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
8/1/2010,24/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
8/1/2011,24/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
8/1/2012,24/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
8/1/2013,24/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
8/1/2014,24/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
8/1/2015,24/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
8/1/2016,24/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
8/1/2017,24/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
8/1/2018,24/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
8/1/2019,24/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
8/1/2020,23/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
8/1/2021,24/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
8/1/2022,24/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
8/1/2023,24/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
9/1/2009,25/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
9/1/2010,25/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
9/1/2011,25/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
9/1/2012,25/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
9/1/2013,25/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
9/1/2014,25/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
9/1/2015,25/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
9/1/2016,25/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
9/1/2017,25/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
9/1/2018,25/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
9/1/2019,25/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
9/1/2020,24/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
9/1/2021,25/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
9/1/2022,25/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
9/1/2023,25/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
10/1/2009,26/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
10/1/2010,26/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
10/1/2011,26/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
10/1/2012,26/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
10/1/2013,26/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
10/1/2014,26/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
10/1/2015,26/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
10/1/2016,26/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
10/1/2017,26/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
10/1/2018,26/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
10/1/2019,26/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
10/1/2020,25/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
10/1/2021,26/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
10/1/2022,26/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
10/1/2023,26/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
11/1/2009,27/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
11/1/2010,27/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
11/1/2011,27/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
11/1/2012,27/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
11/1/2013,27/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
11/1/2014,27/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
11/1/2015,27/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
11/1/2016,27/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
11/1/2017,27/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
11/1/2018,27/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
11/1/2019,27/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
11/1/2020,26/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
11/1/2021,27/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
11/1/2022,27/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
11/1/2023,27/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
12/1/2009,28/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
12/1/2010,28/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
12/1/2011,28/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
12/1/2012,28/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
12/1/2013,28/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
12/1/2014,28/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
12/1/2015,28/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
12/1/2016,28/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
12/1/2017,28/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
12/1/2018,28/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
12/1/2019,28/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
12/1/2020,27/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
12/1/2021,28/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
12/1/2022,28/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
12/1/2023,28/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
13/01/2009,29/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
13/01/2010,29/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
13/01/2011,29/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
13/01/2012,29/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
13/01/2013,29/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
13/01/2014,29/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
13/01/2015,29/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
13/01/2016,29/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
13/01/2017,29/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
13/01/2018,29/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
13/01/2019,29/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
13/01/2020,28/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
13/01/2021,29/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
13/01/2022,29/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
13/01/2023,29/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
14/01/2009,1/10/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
14/01/2010,30/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
14/01/2011,30/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
14/01/2012,30/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
14/01/2013,1/10/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
14/01/2014,30/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
14/01/2015,30/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
14/01/2016,30/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
14/01/2017,1/10/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
14/01/2018,30/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
14/01/2019,30/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
14/01/2020,29/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
14/01/2021,1/10/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
14/01/2022,30/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
14/01/2023,30/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
15/01/2009,2/10/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
15/01/2010,1/10/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
15/01/2011,1/10/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
15/01/2012,1/10/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
15/01/2013,2/10/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
15/01/2014,1/10/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
15/01/2015,1/10/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
15/01/2016,1/10/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
15/01/2017,2/10/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
15/01/2018,1/10/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
15/01/2019,1/10/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
15/01/2020,1/10/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
15/01/2021,2/10/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
15/01/2022,1/10/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
15/01/2023,1/10/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
16/01/2009,3/10/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
16/01/2010,2/10/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
16/01/2011,2/10/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
16/01/2012,2/10/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
16/01/2013,3/10/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
16/01/2014,2/10/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
16/01/2015,2/10/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
16/01/2016,2/10/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
16/01/2017,3/10/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
16/01/2018,2/10/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
16/01/2019,2/10/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
16/01/2020,2/10/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
16/01/2021,3/10/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
16/01/2022,2/10/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
16/01/2023,2/10/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
17/01/2009,4/10/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
17/01/2010,3/10/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
17/01/2011,3/10/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
17/01/2012,3/10/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
17/01/2013,4/10/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
17/01/2014,3/10/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
17/01/2015,3/10/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
17/01/2016,3/10/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
17/01/2017,4/10/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
17/01/2018,3/10/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
17/01/2019,3/10/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
17/01/2020,3/10/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
17/01/2021,4/10/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
17/01/2022,3/10/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
17/01/2023,3/10/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
18/01/2009,5/10/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
18/01/2010,4/10/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
18/01/2011,4/10/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
18/01/2012,4/10/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
18/01/2013,5/10/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
18/01/2014,4/10/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
18/01/2015,4/10/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
18/01/2016,4/10/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
18/01/2017,5/10/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
18/01/2018,4/10/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
18/01/2019,4/10/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
18/01/2020,4/10/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
18/01/2021,5/10/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
18/01/2022,4/10/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
18/01/2023,4/10/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
19/01/2009,6/10/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
